state,date,year,birth_rate_per_1000
Kuala Lumpur,2020-01-01,2020,11.704253064931132
Labuan,2020-01-01,2020,18.023133543638277
Melaka,2020-01-01,2020,13.877203525641026
Negeri Sembilan,2020-01-01,2020,14.266666666666667
Pahang,2020-01-01,2020,15.926600892352164
Perak,2020-01-01,2020,12.65304487179487
Perlis,2020-01-01,2020,14.394524394524394
Pulau Pinang,2020-01-01,2020,11.287635026430706
Putrajaya,2020-01-01,2020,19.624542124542124
Sabah,2020-01-01,2020,14.504212004212004
Sarawak,2020-01-01,2020,14.44716142967763
Selangor,2020-01-01,2020,13.37884593388997
Terengganu,2020-01-01,2020,23.644510179223943
Johor,2021-01-01,2021,12.435323383084578
Kedah,2021-01-01,2021,15.355300460101315
Kelantan,2021-01-01,2021,19.18225459361033
Kuala Lumpur,2021-01-01,2021,10.715885947046843
Labuan,2021-01-01,2021,15.854166666666666
Melaka,2021-01-01,2021,13.13290194126431
Negeri Sembilan,2021-01-01,2021,13.932071084537453
Pahang,2021-01-01,2021,15.302528879175773
Perak,2021-01-01,2021,12.24898640591462
Perlis,2021-01-01,2021,14.172461752433936
Pulau Pinang,2021-01-01,2021,10.672988505747126
Putrajaya,2021-01-01,2021,18.28125
Sabah,2021-01-01,2021,12.192463224520894
Sarawak,2021-01-01,2021,12.684133679428943
Selangor,2021-01-01,2021,12.847021255363735
Terengganu,2021-01-01,2021,22.49679678824635
Johor,2022-01-01,2022,11.978750341335054
Kedah,2022-01-01,2022,14.236974712218576
Kelantan,2022-01-01,2022,18.468261772096582
Kuala Lumpur,2022-01-01,2022,10.122883948602897
Labuan,2022-01-01,2022,14.179566563467493
Melaka,2022-01-01,2022,12.993257981360301
Negeri Sembilan,2022-01-01,2022,13.238678698567764
Pahang,2022-01-01,2022,14.599516818435234
Perak,2022-01-01,2022,11.749522748965955
Perlis,2022-01-01,2022,12.92615596963423
Pulau Pinang,2022-01-01,2022,10.184961801367109
Putrajaya,2022-01-01,2022,15.717948717948717
Sabah,2022-01-01,2022,12.7725555653167
Sarawak,2022-01-01,2022,12.507378209015565
Selangor,2022-01-01,2022,11.86587804774265
Terengganu,2022-01-01,2022,21.32479352772628
Johor,2023-01-01,2023,13.672574990261005
Kedah,2023-01-01,2023,15.443749143561869
Kelantan,2023-01-01,2023,19.198300892569094
Kuala Lumpur,2023-01-01,2023,10.69053198384604
Labuan,2023-01-01,2023,14.232323232323232
Melaka,2023-01-01,2023,13.209180200330644
Negeri Sembilan,2023-01-01,2023,13.527634908972162
Pahang,2023-01-01,2023,14.704235637779941
Perak,2023-01-01,2023,12.104124035888557
Perlis,2023-01-01,2023,13.230979187990446
Pulau Pinang,2023-01-01,2023,11.04535710256121
Putrajaya,2023-01-01,2023,14.419191919191919
Sabah,2023-01-01,2023,12.904050935579837
Sarawak,2023-01-01,2023,13.555528913399673
Selangor,2023-01-01,2023,12.557387963438147
Terengganu,2023-01-01,2023,21.592561983471075
